description,full-level,filling_level,Time,Ubidots_apilabel,Battery,Distance,Position,lat_long,change-in-volume,collection_peak,collection_off_peak,location_desc,location_area,lat,long,filling_level_map
Easts Narooma Village Tennis Court,484.0,Medium,2024-12-13T02:20:27+11:00,24e124713d160611,46.0,466.0,0.0,"-36.215829, 150.126246",27.0,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.215829,150.126246,Medium (<600)
Broulee - Coronation Dr Toilet #1,652.0,High,2024-12-13T02:33:33+11:00,24e124713d160908,80.0,298.0,0.0,"-35.843129, 150.177717",-25.0,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.843129,150.177717,High (600 - 900)
Clyde St at Boat Ramp.,283.0,Low,2024-12-13T02:37:31+11:00,24e124713d160086,82.0,667.0,0.0,"-35.702581, 150.176704",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.702581,150.176704,Low (<300)
South Side Innes Boat Shed,825.0,High,2024-12-13T03:50:03+11:00,24e124713d160596,83.0,125.0,0.0,"-35.705794, 150.178",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.705794,150.178,High (600 - 900)
North Park Batemans Bay Toilet Block #1,499.0,Medium,2024-12-13T03:51:09+11:00,24e124713d115333,85.0,451.0,0.0,"-35.701743, 150.180299",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.701743,150.180299,Medium (<600)
Outside Fenning Place,334.0,Medium,2024-12-13T03:51:24+11:00,24e124713d160982,83.0,616.0,0.0,"-35.70702, 150.177803",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.70702,150.177803,Medium (<600)
Clyde St near Metal Monument under Bridge,258.0,Low,2024-12-13T03:52:00+11:00,24e124713d160127,83.0,692.0,0.0,"-35.703086, 150.176574",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.703086,150.176574,Low (<300)
North Park Batemans Bay Bridge #1,445.0,Medium,2024-12-13T03:52:38+11:00,24e124713d115730,84.0,505.0,0.0,"-35.701592, 150.179999",60.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.701592,150.179999,Medium (<600)
Promenade Behind Post Office,473.0,Medium,2024-12-13T03:52:54+11:00,24e124713d160724,80.0,477.0,0.0,"-35.706902, 150.178774",-3.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.706902,150.178774,Medium (<600)
Stockland Bus Stop #2,744.0,High,2024-12-13T03:57:11+11:00,24e124713d160244,79.0,206.0,0.0,"-35.707132, 150.176442",4.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.707132,150.176442,High (600 - 900)
Outside Batemans Bay Ice Creamery,364.0,Medium,2024-12-13T03:58:10+11:00,24e124713d160284,82.0,586.0,0.0,"-35.704808, 150.177294",,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.704808,150.177294,Medium (<600)
Mariners Car Park Entry/Exit,231.0,Low,2024-12-13T03:58:36+11:00,24e124713d160410,82.0,719.0,0.0,"-35.708017, 150.177806",-1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.708017,150.177806,Low (<300)
Internal Paper Bin Sensor-01,62.0,Low,2024-12-13T03:53:18+11:00,24e124713b491724,69.0,888.0,0.0,"-35.91277364, 150.0795279",,,,Outside Stephs Office,Outside Stephs Office,-35.91277364,150.0795279,Low (<300)
Internal Paper Bin Sensor-02,54.0,Low,2024-12-13T03:55:29+11:00,24e124713b491640,73.0,896.0,0.0,"-35.912821, 150.078803",,,,Outside Comms Office,Outside Comms Office,-35.912821,150.078803,Low (<300)
AckWBB3 Pos 4,215.0,Low,2024-12-13T03:34:12+11:00,24e124713c450564,63.0,735.0,0.0,"-35.91788, 150.0801",0.0,,,Moruya - Central,Central,-35.91788,150.0801,Low (<300)
ACKWBB2 Pos 2,194.0,Low,2024-12-13T03:37:44+11:00,24e124713c456842,38.0,756.0,0.0,"-35.91723, 150.08069",,,,Moruya - Central,Central,-35.91723,150.08069,Low (<300)
AckWBB3 Pos 2,-9.0,Low,2024-12-13T03:44:00+11:00,24e124713c450479,37.0,959.0,0.0,"-35.91783, 150.08011",,,,Moruya - Central,Central,-35.91783,150.08011,Low (<300)
AckWBB3 Pos 3,426.0,Medium,2024-12-13T03:51:16+11:00,24e124713c450221,67.0,524.0,0.0,"-35.91787, 150.08011",1.0,,,Moruya - Central,Central,-35.91787,150.08011,Medium (<600)
Broulee Skate Park #1,599.0,Medium,2024-12-13T03:53:43+11:00,24e124713d160835,82.0,351.0,0.0,"-35.85724, 150.176163",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.85724,150.176163,Medium (<600)
Nth Moruya BBQ Area near boat shed #1,360.0,Medium,2024-12-13T03:55:08+11:00,24e124713d118143,81.0,590.0,0.0,"-35.9058499, 150.0825039",-1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.9058499,150.0825039,Medium (<600)
AckWBB2 Pos 3,135.0,Low,2024-12-13T03:58:04+11:00,24e124713c452001,51.0,815.0,0.0,"-35.91725, 150.08072",,,,Moruya - Central,Central,-35.91725,150.08072,Low (<300)
Broulee Offshore Surf Shop #2,224.0,Low,2024-12-13T03:58:26+11:00,24e124713d160161,43.0,726.0,0.0,"-35.84873, 150.176061",-117.0,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.84873,150.176061,Low (<300)
Outside Wrapaholics,399.0,Medium,2024-12-13T00:24:35+11:00,24e124713d160986,41.0,551.0,0.0,"-36.216244, 150.12674",0.0,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.216244,150.12674,Medium (<600)
Moruya Main Street Moruya EATS,549.0,Medium,2024-12-13T00:14:37+11:00,24e124713c450763,78.0,401.0,0.0,"-35.910803, 150.08051",-121.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.910803,150.08051,Medium (<600)
Moruya River Park Bin 1,373.0,Medium,2024-12-11T08:02:31+11:00,24e124713c452708,40.0,577.0,0.0,"-35.90885, 150.08407",-1.0,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.90885,150.08407,Medium (<600)
Moruya Main St COMM Bank,114.0,Low,2024-12-11T18:20:56+11:00,24e124713c451979,78.0,836.0,0.0,"-35.910277, 150.0806",,"M,T,W,T,F,S,S","M,W,F,S,S",Moruya - Central,Central,-35.910277,150.0806,Low (<300)
Broulee Opposite Fraser Gray Real Estate,589.0,Medium,2024-12-12T23:16:43+11:00,24e124713d160543,56.0,361.0,0.0,"-35.848338, 150.176178",1.0,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.848338,150.176178,Medium (<600)
Broulee Surf Club #1,523.0,Medium,2024-12-12T23:37:07+11:00,24e124713d160940,67.0,427.0,0.0,"-35.857929, 150.176003",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.857929,150.176003,Medium (<600)
Broulee Bayside St Beach Access Bin,950.0,Full,2024-12-12T23:48:48+11:00,24e124713c451439,50.0,0.0,0.0,"-35.85565, 150.17807",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.85565,150.17807,Full (>900)
Broulee Shark Bay #1,380.0,Medium,2024-12-12T23:50:07+11:00,24e124713d160294,67.0,570.0,0.0,"-35.857313, 150.178545",0.0,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.857313,150.178545,Medium (<600)
Broulee Opposite Coronation Drive #1,249.0,Low,2024-12-12T23:53:29+11:00,24e124713d162415,50.0,701.0,0.0,"-35.846373, 150.17633",,"M,T,W,T,F,S,S x 2","M,W,F,S,S x 2",Broulee - Central,Central,-35.846373,150.17633,Low (<300)
Nata Park Playground,605.0,High,2024-12-13T02:44:35+11:00,24e124713d160124,36.0,345.0,0.0,"-36.216521, 150.128297",0.0,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.216521,150.128297,High (600 - 900)
Outside Narooma Chinese Restaurant,914.0,Full,2024-12-13T03:28:31+11:00,24e124713d160563,64.0,36.0,0.0,"-36.218583, 150.132242",,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.218583,150.132242,Full (>900)
Narooma Skate Park,189.0,Low,2024-12-13T03:58:11+11:00,24e124713d118234,87.0,761.0,0.0,"-36.215433, 150.122427",0.0,"M,T,W,T,F,S,S","M,W,F",Narooma - South,South,-36.215433,150.122427,Low (<300)
Opposite Bait & Tackle,720.0,High,2024-12-13T03:51:35+11:00,24e124713d162508,83.0,230.0,0.0,"-35.704176, 150.177241",-3.0,"M,T,W,T,F,S,S","M,W,F,S,S",Batemans Bay - NTH,NTH,-35.704176,150.177241,High (600 - 900)
